date,home_team,away_team,home_goals,away_goals,result,home_goals_ht,away_goals_ht,home_shots,away_shots,home_shots_target,away_shots_target,season,league,home_goals_form,away_goals_form,home_conceded_form,away_conceded_form,home_shots_form,away_shots_form,home_sot_form,away_sot_form,home_gd,away_gd,home_gd_form,away_gd_form,home_points,away_points,home_points_form5,away_points_form5,home_points_form10,away_points_form10,home_win,away_win,home_win_rate,away_win_rate,home_clean_sheet,away_clean_sheet,home_cs_rate,away_cs_rate,home_failed_score,away_failed_score,home_fts_rate,away_fts_rate,home_elo,away_elo,elo_diff,home_streak,away_streak,total_goals,home_attack_strength,away_attack_strength,home_defence_strength,away_defence_strength,matchday,season_stage,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_total,h2h_home_rate
1993-08-14,Arsenal,Coventry,0.0,3.0,-1,,,,,,,9394,Premier League,,,,,,,,,-3.0,3.0,,,0,3,,,,,0,1,,,0,1,,,1,0,,,1500.0,1500.0,0.0,0,0,3.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Bradford,Brighton,2.0,0.0,1,,,,,,,9394,League One,,,,,,,,,2.0,-2.0,,,3,0,,,,,1,0,,,1,0,,,0,1,,,1500.0,1500.0,0.0,0,0,2.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Brentford,Exeter,2.0,1.0,1,,,,,,,9394,League One,,,,,,,,,1.0,-1.0,,,3,0,,,,,1,0,,,0,0,,,0,0,,,1500.0,1500.0,0.0,0,0,3.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Bristol Rvs,Bournemouth,0.0,1.0,-1,,,,,,,9394,League One,,,,,,,,,-1.0,1.0,,,0,3,,,,,0,1,,,0,1,,,1,0,,,1500.0,1500.0,0.0,0,0,1.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Burnley,Port Vale,2.0,1.0,1,,,,,,,9394,League One,,,,,,,,,1.0,-1.0,,,3,0,,,,,1,0,,,0,0,,,0,0,,,1500.0,1500.0,0.0,0,0,3.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Cambridge,Blackpool,3.0,2.0,1,,,,,,,9394,League One,,,,,,,,,1.0,-1.0,,,3,0,,,,,1,0,,,0,0,,,0,0,,,1500.0,1500.0,0.0,0,0,5.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Cardiff,Leyton Orient,2.0,0.0,1,,,,,,,9394,League One,,,,,,,,,2.0,-2.0,,,3,0,,,,,1,0,,,1,0,,,0,1,,,1500.0,1500.0,0.0,0,0,2.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Hartlepool,Fulham,0.0,1.0,-1,,,,,,,9394,League One,,,,,,,,,-1.0,1.0,,,0,3,,,,,0,1,,,0,1,,,1,0,,,1500.0,1500.0,0.0,0,0,1.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Huddersfield,Reading,0.0,3.0,-1,,,,,,,9394,League One,,,,,,,,,-3.0,3.0,,,0,3,,,,,0,1,,,0,1,,,1,0,,,1500.0,1500.0,0.0,0,0,3.0,,,,,1,0.0,0,0,0,0,0.0
1993-08-14,Plymouth,Stockport,2.0,3.0,-1,,,,,,,9394,League One,,,,,,,,,-1.0,1.0,,,0,3,,,,,0,1,,,0,0,,,0,0,,,1500.0,1500.0,0.0,0,0,5.0,,,,,1,0.0,0,0,0,0,0.0
