team,league,latest_elo,matches_played,last_match_date
Saint Vincent and the Grenadines,International,1387.4221534624292,236,2026-03-29
Saint Helena,International,1408.750896075997,8,2023-07-13
Madeira,Primeira Liga,1416.8484916977827,34,1995-05-28
Paris SG,Ligue 1,1945.7240597861844,1176,2026-05-17
Sete,Ligue 2,1320.1282256968773,38,2006-05-12
Sociedad B,Segunda Division,1431.2902544106037,84,2026-05-30
Brittany,International,1517.3905509329998,12,2013-05-28
El Salvador,International,1489.53358775278,614,2026-06-06
St Pauli,Bundesliga,1581.8238986779807,972,2026-05-16
Exeter,League One,1466.0410223650472,1391,2026-05-02
Toledo,Segunda Division,1422.532728194167,164,2000-06-03
Trikala,Greek Super League,1387.2202932717466,34,2000-05-28
Tours,Ligue 2,1338.87885090709,418,2018-05-11
Niki Volos,Greek Super League,1301.0138627504307,33,2015-05-02
Andalusia,International,1604.5311760027446,13,2013-06-07
Platanias,Greek Super League,1413.1241059379956,188,2018-05-05
Betis,La Liga,1789.0222063067977,1229,2026-05-23
Man United,Premier League,2030.6107984594819,1253,2026-05-24
Mexico,International,1849.077392956142,1003,2026-06-04
Meppen,Bundesliga 2,1349.8972114785495,174,1998-06-07
Gambia,International,1508.5112816682179,266,2026-05-29
Foggia,Serie B,1464.045252679358,184,2019-05-11
Seraing,Belgian Pro League,1355.3818849461486,102,2023-04-22
Karabukspor,Turkish Super Lig,1355.1072202572154,306,2018-05-18
Babelsberg,Bundesliga 2,1305.8821490757396,34,2002-05-05
Vanspor,Turkish Super Lig,1338.0437302179816,170,2000-05-20
Sevilla B,Segunda Division,1358.9057064679196,166,2018-06-01
Tubize,Belgian Pro League,1436.398279172533,34,2009-05-16
Timor-Leste,International,1018.3338071577837,86,2025-11-18
Hayes & Yeading,National League,1321.139737109738,136,2012-04-28
Belgium,International,1882.4109229196954,853,2026-06-06
Louhans-Cuis.,Ligue 2,1309.2805715454083,122,2000-05-20
Taiwan,International,1190.4970736184946,245,2025-11-18
Estonia,International,1454.455502964974,549,2026-06-06
Lesotho,International,1395.6573587970693,296,2026-06-04
Occitania,International,1638.2937134219223,33,2014-12-30
Gallipoli,Serie B,1345.0212041167786,42,2010-05-30
Leca,Primeira Liga,1447.2672237889617,102,1998-05-17
OFI Crete,Greek Super League,1578.6744051321973,262,2026-05-17
Slovenia,International,1706.8451631287492,317,2026-06-07
Athens Kallithea,Greek Super League,1514.2314200013702,35,2025-05-18
Latvia,International,1385.7025941778684,460,2026-06-06
Saudi Arabia,International,1643.5652964303974,740,2026-06-05
Ankaragucu,Turkish Super Lig,1528.0995255774415,770,2024-05-26
Den Bosch,Eredivisie,1319.2811504224776,94,2005-05-22
Sealand,International,1492.8276242152408,12,2014-08-10
Bromley,League Two,1537.0447622945558,493,2026-05-02
